coc,group,total,unsheltered
CA-600,Hispanic/Latino (any race),30881,21981
CA-600,Black or African American,21160,12467
CA-600,White (non-Hispanic),14905,11585
CA-600,Asian,927,644
CA-600,American Indian/Alaska Native,1056,896
CA-600,Native Hawaiian/Pacific Islander,288,195
CA-600,Other / multiple (non-Hispanic),1984,1741
CA-503,Hispanic/Latino (any race),989,438
CA-503,Black or African American,2181,1059
CA-503,White (non-Hispanic),2768,2051
CA-503,Asian,139,93
CA-503,American Indian/Alaska Native,126,88
CA-503,Native Hawaiian/Pacific Islander,65,20
CA-503,Other / multiple (non-Hispanic),347,195
AZ-501,Hispanic/Latino (any race),809,438
AZ-501,Black or African American,221,99
AZ-501,White (non-Hispanic),871,544
AZ-501,Asian,9,3
AZ-501,American Indian/Alaska Native,117,112
AZ-501,Native Hawaiian/Pacific Islander,10,8
AZ-501,Other / multiple (non-Hispanic),105,77
CA-501,Hispanic/Latino (any race),2823,1353
CA-501,Black or African American,1971,989
CA-501,White (non-Hispanic),2431,1328
CA-501,Asian,331,153
CA-501,American Indian/Alaska Native,180,125
CA-501,Native Hawaiian/Pacific Islander,182,125
CA-501,Other / multiple (non-Hispanic),405,281
CA-601,Hispanic/Latino (any race),3779,1898
CA-601,Black or African American,1881,958
CA-601,White (non-Hispanic),4059,2688
CA-601,Asian,201,124
CA-601,American Indian/Alaska Native,190,143
CA-601,Native Hawaiian/Pacific Islander,124,73
CA-601,Other / multiple (non-Hispanic),371,226
WA-500,Hispanic/Latino (any race),3563,2098
WA-500,Black or African American,3889,1405
WA-500,White (non-Hispanic),6075,4006
WA-500,Asian,329,136
WA-500,American Indian/Alaska Native,687,484
WA-500,Native Hawaiian/Pacific Islander,565,250
WA-500,Other / multiple (non-Hispanic),1760,1431
AZ-502,Hispanic/Latino (any race),2555,1278
AZ-502,Black or African American,2577,790
AZ-502,White (non-Hispanic),3537,1706
AZ-502,Asian,52,15
AZ-502,American Indian/Alaska Native,453,233
AZ-502,Native Hawaiian/Pacific Islander,50,10
AZ-502,Other / multiple (non-Hispanic),211,44
CA-500,Hispanic/Latino (any race),4647,2917
CA-500,Black or African American,1467,1110
CA-500,White (non-Hispanic),2847,2271
CA-500,Asian,721,575
CA-500,American Indian/Alaska Native,182,119
CA-500,Native Hawaiian/Pacific Islander,152,126
CA-500,Other / multiple (non-Hispanic),378,283
OR-501,Hispanic/Latino (any race),693,301
OR-501,Black or African American,1223,667
OR-501,White (non-Hispanic),4153,2250
OR-501,Asian,88,38
OR-501,American Indian/Alaska Native,330,173
OR-501,Native Hawaiian/Pacific Islander,241,104
OR-501,Other / multiple (non-Hispanic),656,411
NV-500,Hispanic/Latino (any race),902,305
NV-500,Black or African American,3339,1612
NV-500,White (non-Hispanic),2712,1617
NV-500,Asian,155,76
NV-500,American Indian/Alaska Native,94,57
NV-500,Native Hawaiian/Pacific Islander,105,51
NV-500,Other / multiple (non-Hispanic),599,484
NY-600,Hispanic/Latino (any race),84830,1546
NY-600,Black or African American,44125,2114
NY-600,White (non-Hispanic),7883,617
NY-600,Asian,1360,76
NY-600,American Indian/Alaska Native,362,18
NY-600,Native Hawaiian/Pacific Islander,981,2
NY-600,Other / multiple (non-Hispanic),593,24
DC-500,Hispanic/Latino (any race),611,132
DC-500,Black or African American,4495,581
DC-500,White (non-Hispanic),373,146
DC-500,Asian,51,17
DC-500,American Indian/Alaska Native,16,9
DC-500,Native Hawaiian/Pacific Islander,14,3
DC-500,Other / multiple (non-Hispanic),56,12
MN-500,Hispanic/Latino (any race),1377,21
MN-500,Black or African American,1363,146
MN-500,White (non-Hispanic),515,101
MN-500,Asian,47,9
MN-500,American Indian/Alaska Native,392,198
MN-500,Native Hawaiian/Pacific Islander,8,0
MN-500,Other / multiple (non-Hispanic),164,21
TN-502,Hispanic/Latino (any race),33,12
TN-502,Black or African American,176,54
TN-502,White (non-Hispanic),644,228
TN-502,Asian,0,0
TN-502,American Indian/Alaska Native,13,8
TN-502,Native Hawaiian/Pacific Islander,3,1
TN-502,Other / multiple (non-Hispanic),30,11
FL-600,Hispanic/Latino (any race),1534,378
FL-600,Black or African American,1893,535
FL-600,White (non-Hispanic),323,108
FL-600,Asian,5,0
FL-600,American Indian/Alaska Native,11,6
FL-600,Native Hawaiian/Pacific Islander,2,0
FL-600,Other / multiple (non-Hispanic),32,6
PA-500,Hispanic/Latino (any race),589,143
PA-500,Black or African American,3341,351
PA-500,White (non-Hispanic),1129,443
PA-500,Asian,24,0
PA-500,American Indian/Alaska Native,26,13
PA-500,Native Hawaiian/Pacific Islander,1,0
PA-500,Other / multiple (non-Hispanic),81,26
IL-510,Hispanic/Latino (any race),13706,315
IL-510,Black or African American,3745,975
IL-510,White (non-Hispanic),1239,303
IL-510,Asian,41,4
IL-510,American Indian/Alaska Native,29,1
IL-510,Native Hawaiian/Pacific Islander,8,0
IL-510,Other / multiple (non-Hispanic),68,36
